potion_unforeseen_effects;This might have unforeseen effects...;Ceci pourrait avoir des conséquences imprévues...;Dies könnte unvorhersehbare Auswirkungen haben...;;Esto podría tener efectos imprevistos...;;;;;;;;;x
cottage_person_dies;You kill the treacherous vagrant!\n;Vous tuez ce traître de vagabond !\n;Du tötest den heimtückischen Landstreicher!\n;;¡Mata al vagabundo traidor!\n;;;;;;;;;x
trains_dog;You will spend time outside training your dog.;Vous passerez du temps à l'extérieur avec votre chien.;Ihr werdet Monate an der frischen Luft verbringen und Euren Hund abrichten.;;Pasarás tiempo fuera entrenando a tu perro.;;;;;;;;;x
architect_refused;You send the architect away.;Vous renvoyez l'architecte.;Ihr schickt den Architekten fort.;;Despide al arquitecto.;;;;;;;;;x
building_towards_heaven;Building Towards Heaven;Vers les cieux;In den Himmel bauen;;Edificio hacia el Cielo;;;;;;;;;x
castle_construction_begins;Construction of a new castle begins.;La construction du château commence.;Der Bau der neuen Burg beginnt.;;Comienza la construcción de un nuevo castillo.;;;;;;;;;x
peasant_hanged;The peasant is hanged for his crimes.;Le paysan est pendu pour ses crimes.;Der Bauer wird für sein Verbrechen gehängt.;;El campesino es ahorcado por sus delitos.;;;;;;;;;x
peasant_imprisoned;The peasant is thrown into the dungeons.;Le paysan est jeté au cachot.;Der Bauer wird in den Kerker geworfen.;;El campesino es lanzado a los calabozos.;;;;;;;;;x
peasant_set_free;The peasant is set free.;Le paysan est libéré.;Der Bauer wird freigelassen.;;El campesino es liberado.;;;;;;;;;x
peasant_tortured;The peasant is brought to your torture chamber.;Le paysan est emmené à la salle de tortures.;Der Bauer wird in die Folterkammer gebracht.;;Llevas al campesino a tu cámara de la tortura.;;;;;;;;;x
tower_start;We will begin with the necessary preparations for the construction.;Vous commencez les préparatifs nécessaires à la construction.;Wir beginnen mit den nötigen Vorbereitungen für den Bau.;;Comenzaremos los preparativos necesarios para la construcción. ;;;;;;;;;x
dishonest_duel_tooltip;This is considered dishonest and people might be upset about this act.;Cette action est considérée comme malhonnête et peut froisser certaines personnes.;Dies wird als unehrenhaft betrachtet und die Leute könnten über eine solche Verhaltensweise aufgebracht sein.;;Esto se considera deshonesto y puede afectar a tu reputación negativamente.;;;;;;;;;;x
duel_title;The Duel;Le duel;Das Duell;;El Duelo;;;;;;;;;x
is_not_ascetic;Is NOT an Ascetic\n;N'est pas ascète\n;Ist KEIN Asket\n;;NO es Ascético\n;;;;;;;;;x
studying_strategy_tooltip;[Root.GetTitledName] studies military strategy.;[Root.Get_Le_TitledName] étudie la stratégie militaire.;[Root.GetTitledName] studiert Militärstrategie.;;[Root.GetTitledName] se dedica a estudiar estrategia militar.;;;;;;;;;x
tower_stands;Tower stands.;La tour reste debout.;Turm bleibt stehen.;;Torre permanece.;;;;;;;;;x
tower_topples;Tower topples.;La tour s'effondre.;Turm stürzt ein.;;Torre cae.;;;;;;;;;x
stop_seduce_decision_tt;Seduction ends;Fin de la séduction;Verführung endet;;La seducción termina;;;;;;;;;x
stop_spy_on_decision_tt;Spying ends;Fin de l'espionnage;Spionage wird beendet;;Deja de espiar;;;;;;;;;x
