gain_friend;[Root.GetTitledName] gains a new friend.;[Root.Get_Le_TitledName] gagne un nouvel ami.;[Root.GetTitledName] gewinnt einen neuen Freund.;;[Root.GetTitledName] gana un nuevo amigo.;;;;;;;;;x
health_travel_condition;Is healthy enough to travel\n;Est en état de voyager\n;Ist gesund genug, um zu reisen\n;;Está lo suficientemente sano para viajar\n;;;;;;;;;x
insulted_realm_christians;Christians in your Realm will be gravely insulted.;Les chrétiens de votre pays en seront grandement offensés.;Die Christen im Reich werden zutiefst empört sein.;;Los cristianos de vuestro Reino se ofenderán seriamente.;;;;;;;;;x
insulted_realm_infidels;Infidels in your realm are insulted.;Les infidèles qui vivent dans votre pays sont insultés.;Die Ungläubigen im Reich sind beleidigt.;;Se insulta a los infieles de vuestro reino.;;;;;;;;;x
jeanne_arrives_message;[jeanne_darc.GetFirstName] the Maid of [home_of_jeanne_darc.GetName] has arrived at the court of [Root.GetTitledName].;[jeanne_darc.GetFirstName] la Pucelle de [home_of_jeanne_darc.GetName] arrive à la cour [Root.Get_du_TitledName].;[jeanne_darc.GetFirstName], die Jungfrau von [home_of_jeanne_darc.GetName] ist am Hof von [Root.GetTitledName] angekommen.;;[jeanne_darc.GetFirstName], la Doncella de [home_of_jeanne_darc.GetName], ha llegado a la corte de [Root.GetTitledName].;;;;;;;;;x
most_clergy_angry;Many members of the realm's clergy will be angry with [Root.GetTitledFirstName].;De nombreux religieux du pays seront en colère contre [Root.Get_le_TitledFirstName].;Viele Angehörige des Klerus im Reich werden wegen [Root.GetTitledFirstName] verärgert sein.;;Muchos miembros del clero del reino se enfadarán con [Root.GetTitledFirstName].;;;;;;;;;x
most_lords_angry;Many of the lords in the realm will be angry with [Root.GetTitledFirstName].;De nombreux seigneurs du Royaume seront en colère contre [Root.Get_le_TitledFirstName].;Viele Adlige im Reich werden wegen [Root.GetTitledFirstName] verärgert sein.;;Muchos de los señores del reino se enfadarán con [Root.GetTitledFirstName].;;;;;;;;;x
noahs_ark_cats_dogs;It had better not rain any more.;Espérons qu'il ne pleuvra plus.;Wenn bloß der Regen aufhörte.;;Es mejor que no llueva más.;;;;;;;;;x
passover_accepted;You accept the invitation.;Accepter l'invitation;Sie nehmen die Einladung an;;Aceptas la invitación.;;;;;;;;;x
passover_celebrations;The preparations for this year's Passover festival begin.\n;Les préparations pour la célébration de Pessa'h commencent.\n;Die Vorbereitungen für das diesjährige Pessachfest beginnen.\n;;Comienzan los preparativos para la festividad de la Pascua Judía de este año.\n;;;;;;;;;x
passover_declined;You decline the invitation.;Refuser l'invitation;Sie lehnen die Einladung ab;;Rechazas la invitación.;;;;;;;;;x
passover_invitations_sent;You send out invitations to your Jewish vassals for the traditional Passover Seder dinner.;Vous invitez vos vassaux juifs à un traditionnel Séder de Pessa'h.;Ihr schickt Euren jüdischen Vasallen Einladungen zum traditionellen Pessach-Seder-Mahl.;;Envías invitaciones a tus vasallos judíos para la tradicional cena del Séder de Pesaj.;;;;;;;;;x
third_temple_construction;Construction on the Third Temple has begun.;La construction du Troisième Temple a commencé.;Der Bau des Dritten Tempels hat begonnen.;;La construcción del Tercer Templo ha comenzado.;;;;;;;;;x
joan_darc;Jehanne Darc;Jeanne d'Arc;Jeanne d'Arc;;Juana de Arco;;;;;;;;;x
heretic_joan_darc;Jehanne Darc;Jeanne d'Arc;Jeanne d'Arc;;Juana de Arco;;;;;;;;;x
