#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x

EVTNAME39100;The Knights of St. John;Les Chevaliers de Saint Jean;Die Ritter des Johanniterordens;;Los Caballeros de San Juan;;;;;;;;;x
EVTNAME39101;The Knights Templar;Les Templiers;Die Tempelritter;;Los Caballeros Templarios;;;;;;;;;x
EVTNAME39102;The Teutonic Order;L'Ordre teutonique;Der Deutsche Orden;;La Orden Teutónica;;;;;;;;;x
EVTNAME39640;The Rise of the Shi'a;L'essor du chiisme;Der Aufstieg der Shi'a;;El ascenso de los Chiítas;;;;;;;;;x
EVTNAME39660;Crusader Kings;Rois croisés;Kreuzritter-Könige;;Crusader Kings;;;;;;;;;x
EVTNAME39670;Renewed Jihad;Renouveau du djihad;Erneuter Dschihad;;Yihad renovada;;;;;;;;;x
EVTNAME39680;Wrath of the Old Gods;La colère des anciens dieux;Rache der alten Götter;;La ira de los antiguos dioses;;;;;;;;;x

EVTTITLE39810;The Order of Saint Anthony;L'Ordre de Saint Antoine;Der Orden des Heiligen Antonius;;La Orden de San Antonio;;;;;;;;;x
EVTTITLE39811;The Order of Saint Addai;L'Ordre de saint Addaï;Der Orden des Heiligen Thaddeus;;La Orden de San Addai;;;;;;;;;x

evt_39810_TT;The Order of Saint Anthony is formed;L'Ordre de Saint Antoine est formé;Der Orden des Heiligen Antonius wurde gegründet;;Se forma la Orden de San Antonio;;;;;;;;;x
evt_39811_TT;The Order of Saint Addai is formed;L'ordre de saint Addaï est formé;Der Orden des Heiligen Thaddeus wurde gegründet;;Se forma la Orden de San Addai;;;;;;;;;x

EVTDESC39000;The [Root.Religion.GetName] heresy has reared its ugly head in the county of [Root.GetName]!;L'hérésie [Root.Religion.GetName] montre son horrible visage dans le comté de [Root.GetName] !;Die scheußliche [Root.Religion.GetName]e Ketzerei greift auf die Provinz von [Root.GetName] über!;;La herejía [Root.Religion.GetName] ha asomado su horrenda cara en la provincia de [Root.GetName]!;;;;;;;;;x
EVTDESC39001;The [Root.Religion.GetName] heresy has spread to [Root.GetName]!;L'hérésie [Root.Religion.GetName] a atteint [Root.GetName] !;In den [Root.Religion.GetName]en Gemeinden von [Root.GetName] hat sich die Ketzerei ausgebreitet!;;¡La herejía [Root.Religion.GetName] se ha extendido a [Root.GetName]!;;;;;;;;;x
EVTDESC39010;The charismatic preacher has convinced me. The [Root.Location.Religion.GetName] creed is the true faith!;Le charismatique prédicateur m'a convaincu. La religion [Root.Location.Religion.GetName] est la vraie foi !;Der charismatische Prediger hat mich überzeugt. Der [Root.Location.Religion.GetName]-Glaube ist der wahre Glaube!;;El carismático predicador me ha convencido. ¡El credo [Root.Location.Religion.GetName] es la auténtica fe!;;;;;;;;;x
EVTDESC39020;My faith is strong and I am itching to spread the good word to my friends...;Ma foi est solide et je brûle d'envie de répandre la bonne parole auprès de mes amis...;Mein Glaube ist stark, und ich brenne darauf, die frohe Kunde unter meinen Freunden zu verbreiten ...;;Mi fe es fuerte y me impulsa a dar la buena nueva a mis amigos...;;;;;;;;;x
EVTDESC39021;My [GetFromRelation], [From.GetTitledFirstName], is attempting to convert me to [From.GetPossPronoun] heresy.;M[From.GetOnA] [GetFromRelation], [From.Get_le_TitledFirstName], essaie de me convertir à son hérésie.;Mein [GetFromRelation], [From.GetTitledFirstName], versucht, mich zur [From.GetPossPronoun]en Ketzerei zu bekehren.;;Mi [GetFromRelation], [From.GetTitledFirstName], intenta convertirme a su herejía.;;;;;;;;;x
EVTDESC39022;My dear [GetFromRelation] [From.GetFirstName] accepted conversion!;M[From.GetOnA] ch[From.GetErEre] [GetFromRelation], [From.GetFirstName], a accepté la conversion !;M[From.Geteineine] liebe[From.GetrMale] [GetFromRelation] [From.GetFirstName] konvertierte!;;¡Mi querido [GetFromRelation] [From.GetFirstName] aceptó la conversión!;;;;;;;;;x
