
usurp_title_interaction_LONG_DESC;Usurp this title.;Usurpez ce titre.;Diesen Titel übernehmen.;;Usurpa este título.;;;;;;;;;x
usurp_title_interaction_TITLE;Usurp Title;Usurper le titre;Titel übernehmen;;Usurpa título;;;;;;;;;x

create_title_interaction_LONG_DESC;Create this title.;Créez ce titre.;Diesen Titel erschaffen.;;Crear este título.;;;;;;;;;x
create_title_interaction_TITLE;Create Title;Créer;Erstellen;Stwórz;Crear;Creare;Új játék;Vytvoøit;;;;;;x

destroy_title_interaction_LONG_DESC;Destroy this title.;Détruisez ce titre.;Diesen Titel vernichten.;;Destruye este título.;;;;;;;;;x
destroy_title_interaction_TITLE;Destroy;Détruire;Vernichten;;Destruir;;;;;;;;;x

make_capital_settlement_interaction_DESC;I can make this my capital.;Je peux désigner cette propriété comme capitale.;Ich kann dieses Besitztum zur Hauptstadt machen.;;Puedo hacer que esta sea mi capital.;;;;;;;;;x
make_capital_settlement_interaction_LONG_DESC;Make this Holding your capital.;Désigner cette propriété comme votre capitale.;Besitztum zur Hauptstadt machen.;;Haz de este asentamiento tu capital.;;;;;;;;;x
make_capital_settlement_interaction_TITLE;Make Capital;Désigner comme capitale;Zur Hauptstadt machen;;Haga capital;;;;;;;;;x

make_primary_title_interaction_DESC;I can declare this my primary title.;Je peux déclarer ceci comme titre principal.;Ich kann diesen Titel zu meinem Haupttitel erklären.;;Puedo convertirlo en mi título principal.;;;;;;;;;x
make_primary_title_interaction_LONG_DESC;Make this your primary title.;Désignez ce titre comme votre titre principal.;Diesen Titel zu Eurem Haupttitel erklären.;;Haz de este título tu título primario.;;;;;;;;;x
make_primary_title_interaction_TITLE;Make Primary Title;Désigner comme titre principal;Zum Haupttitel erklären;;Hacer Principal;;;;;;;;;x
