#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
aborted_child;Aborted Child;Avortement;Trieb Kind ab;;Niño abortado;;;;;;;;x
aborted_child_desc;This woman is recovering from the traumatizing consequences of aborting her own child.;Cette femme se remet de son avortement.;Diese Frau erholt sich von den traumatisierenden Folgen des Abbruchs ihres eigenen Kindes.;;Esta mujer se está recuperando de las traumáticas consecuencias de haber abortado a su hijo.;;;;;;;;x
advanced_supply_lines;Advanced Supply Lines;Approvisionnement amélioré;verbesserte Versorgungslinien;;Líneas de suministro avanzadas;;;;;;;;x
advanced_supply_lines_desc;By strengthening of communications and exploration efforts, this commander has increased the autonomy of [Root.GetHerHis] armies while in enemy territory.;En renforçant la communication et l'exploration, ce commandant a accru l'autonomie de ses armées en territoire ennemi.;Durch die Verbesserung von Kommunikations- und Erkundungsbemühungen hat dieser Kommandant die Eigenständigkeit [Root.GetHerHis]er Truppen in feindlichem Territorium erhöht.;;Al reforzar sus tareas de comunicación y exploración, este comandante ha aumentado la autonomía de sus ejércitos en territorio enemigo.;;;;;;;;x
afghan_opinion;[afghan.GetName] Opinion;Opinion [afghan.GetName];[afghan.GetName]e Meinung;;Parecer [afghan.GetName];;;;;;;;;x
africa_drought;Drought;Sécheresse;Dürre;;Sequía;;;;;;;;x
africa_drought_desc;This area is suffering a severe drought, its people starving and fighting over resources.;Cette région souffre d'une grave sécheresse, ses habitants sont affamés et se disputent les ressources.;Diese Region durchlebt eine schwere Dürre. Die Menschen hier verhungern und kämpfen um Ressourcen.;;Esta área sufre una sequía terrible, la gente pasa hambre y lucha por los recursos.;;;;;;;;x
africa_drought_risk;Risk of Drought;Risque de sécheresse;Dürrerisiko;;Riesgo de sequía;;;;;;;;x
africa_drought_risk_desc;This area is currently suffering from a lack of rain.;Cette zone souffre actuellement d'un manque de pluie.;Diese Region leidet derzeit unter Regenmangel.;;Esta área está sufriendo la falta de lluvias.;;;;;;;;x
africa_heavy_rain;Heavy Rain;Forte pluie;Schwerer Regen;;Lluvias fuertes;;;;;;;;x
africa_heavy_rain_desc;Unusually heavy rainfalls are sweeping through the area, causing harvests to over-perform, while riverbeds run the risk of flooding.;Des pluies exceptionnellement fortes balayent la région, entraînant des récoltes abondantes, tandis que les lits des fleuves risquent de déborder.;Ungewöhnlich starke Regenfälle ziehen durch das Land. Dieser führt zur Überproduktion und Überschwemmung von Flussbetten.;;Lluvias inusualmente fuertes están barriendo la zona, provocando un rendimiento extremo de las cosechas, al tiempo que los cauces de los ríos corren el riesgo de inundarse.;;;;;;;;x
africa_light_rain;Light Rain;Pluie légère;Leichter Regen;;Lluvias ligeras;;;;;;;;x
africa_light_rain_desc;A moderate amount of rainfall is currently having a positive effect on harvests in this area.;Une quantité modérée de précipitations a actuellement un effet positif sur les récoltes dans cette zone.;Eine moderate Niederschlagsmenge wirkt sich derzeit positiv auf die Ernte in dieser Region aus.;;Una cantidad moderada de lluvia está teniendo un efecto positivo en las cosechas de esta zona.;;;;;;;;x
africa_rain_dance_1;Rain Dance Rituals;Rituels de danse de la pluie;Regentanz-Rituale;;Danzas de la lluvia;;;;;;;;x
africa_rain_dance_1_desc;The inhabitants in this area are praying for rain.;Les habitants de cette région prient pour la pluie.;Die Bewohner dieser Region beten für Regen.;;Los habitantes de esta área rezan pidiendo lluvia.;;;;;;;;x
africa_rain_dance_2;Prosperity Festivals;Fête de la prospérité;Wohlstands-Feste;;Festivales de la prosperidad;;;;;;;;x
africa_rain_dance_2_desc;A local cult is devoted to the gods of harvest.;Un culte local est consacré aux dieux de la récolte.;Ein lokaler Kult ist den Erntegöttern gewidmet.;;Un culto local dedicado a los dioses de la cosecha.;;;;;;;;x
africa_rain_dance_successful;Successful Rituals;Rituels couronnés de succès;Erfolgreiche Rituale;;Rituales exitosos;;;;;;;;x
africa_rain_dance_successful_desc;This area has been blessed with good weather – as long as it remains, the inhabitants will believe that it is thanks to their acts of devoutness.;Cette région a été bénie par le beau temps – tant que cela sera le cas, les habitants croiront que c'est grâce à leurs actes de dévotion.;Diese Region wurde mit gutem Wetter gesegnet. So lange dieses anhält werden die Einwohner glauben, dass dies dank ihrer frommen Lebensweise ist.;;Esta área ha sido bendecida con buen tiempo. Mientras este siga, sus habitantes creerán que es gracias a su devoción.;;;;;;;;x
